PatientID	Bcell	CD4T	CD8T	Mono	Neu	NK
GSM1051533	0.0577628903397236	0.124766974609371	0.150486788190681	0.0649129272734457	0.535868392911692	0.122659714821384
GSM1051534	0.0436165832502484	0.174595404052801	0.110308388526133	0.0877118977746157	0.591241292997409	0.034155831682088
GSM1051536	0.0865238319687827	0.256754872546654	0.11277743467025	0.107768222380293	0.38317362317288	0.115779820507145
GSM1051537	0.0572005262334356	0.156893436872485	0.10460960340388	0.0477429758037744	0.638083667072324	0.0454674855540235
GSM1051538	0.0332364661159557	0.206679025546052	0.0545259950790871	0.0812523780945007	0.583228741616255	0.0839287590786836
GSM1051539	0.0396749354703862	0.150813065669468	0.146970732222248	0.09975279775242	0.536276996486048	0.0777026117233497
GSM1051541	0.0357198792469469	0.157020511114813	0.11524911406082	0.11023746604303	0.539438347997674	0.0972877433953602
GSM1051542	0.0632059634498921	0.132732985163016	0.114123840400776	0.106467389792429	0.546267236698185	0.0968953367061202
GSM1051543	0.0791451502072949	0.20467772862034	0.0395379364814166	0.123354411401235	0.532198862763952	0.0658629928664588
GSM1051544	0.0484551671725595	0.200865207019369	0.0524749827551747	0.10366801143924	0.582209476866917	0.055600808155782
GSM1051545	0.039632580700037	0.146243207220931	0.0736802544628871	0.134426684082901	0.564320581292043	0.0940776642177174
GSM1051550	0.0677281572854107	0.250563329947011	0.0677327274513459	0.0938925479707742	0.45463816066084	0.124243082747662
GSM1051551	0.0476032619275502	0.190675806143962	0.120346327758079	0.129675677960522	0.43965389401695	0.125956433828931
GSM1051552	0.0770412708488625	0.137869000894112	0.0372005712310923	0.0915718631378313	0.642980810332886	0.060899217650117
GSM1051553	0.049988059936949	0.154994865226786	0.161605019044203	0.0987567600373309	0.474089621615235	0.121551677031882
GSM1051555	0.0828958286603756	0.180520189072124	0.111934729820138	0.124921593489131	0.466529487358709	0.0758471902253132
GSM1051556	0.091139605943756	0.301439321370639	0.101514707898774	0.103306912534498	0.367704820077513	0.0829808654298959
GSM1051557	0.049142663809671	0.221725529071407	0.0583631780678268	0.0856203805376814	0.547787888582874	0.0785498070838187
GSM1051559	0.0816356441115706	0.197951191185228	0.146238630671923	0.140819674786158	0.374391137630403	0.106989366247831
GSM1051560	0.0732057907816384	0.152984832387071	0.0279188116887666	0.0768573939234946	0.644820870566247	0.0660661697460388
GSM1051561	0.0647150544213556	0.206397001438505	0	0.0734980293276338	0.636572170709515	0.0674083512001462
GSM1051563	0.0761808035746758	0.163583013446842	0.181244852372888	0.0895899469383161	0.434774575417622	0.111787346925234
GSM1051564	0.0504822215366004	0.13849889313109	0.103629644965469	0.0736403107993372	0.570147883457771	0.11033169556444
GSM1051565	0.0554799423145723	0.201156563785196	0.155514114277852	0.0789761179235045	0.471447434717449	0.0812407004103727
GSM1051566	0.0397467444689594	0.233991293340314	0.0589226492382019	0.0812828403450976	0.541869803170663	0.0862819923900212
GSM1051567	0.0852693881615325	0.219626702771428	0.127236912347317	0.068013127440599	0.491677778017848	0.0642180327254584
GSM1051568	0.0729923298166295	0.215144129474278	0.131692030382469	0.0905530095229287	0.405367103379556	0.135531292807327
GSM1051570	0.0440059472117168	0.226749092793294	0.0770027778121869	0.0901074697340885	0.537784686793131	0.0767323291568874
GSM1051571	0.0431779949916725	0.260131996986501	0.0528050189844356	0.0911833601545632	0.543434977843106	0.0540137503786898
GSM1051572	0.0885257456329477	0.264693503960245	0.175876769097627	0.0938127045188058	0.341736956436371	0.0869898581299644
GSM1051573	0.0515506666072351	0.137751463506116	0.0521557799813415	0.120072566554438	0.590370651852449	0.0858481074043073
GSM1051574	0.0642479056562506	0.186433542887796	0.087853739350211	0.0578060802913043	0.596324012927855	0.0471980713960264
GSM1051575	0.0565484602943914	0.190244177019492	0.112472878362192	0.0897401875567714	0.506003586107922	0.100346589150974
GSM1051576	0.0502104763138457	0.158995867002867	0.0912723453335642	0.055010758196806	0.614315448882817	0.0765321977683776
GSM1051577	0.0676137237829313	0.131827702539318	0.0877884853287808	0.074462446196874	0.608977091086468	0.0766398721390774
GSM1051578	0.0696076922528663	0.268826183778903	0.073667054227308	0.0876457712398921	0.502745571582088	0.0437903325618552
GSM1051579	0.0492125776140995	0.102806971674753	0.134060884814108	0.0619508140910799	0.633865295610511	0.0558049057726963
GSM1051580	0.0826046237079421	0.169784248104312	0.0928758812467681	0.0480113173489014	0.597940513163791	0.0517238272183957
GSM1051581	0.0443023730222169	0.233880039065339	0.107006865028987	0.0987441260356705	0.429212617983612	0.13356646286961
GSM1051582	0.0554142490791405	0.122679647478378	0.119986011966011	0.0762965550036506	0.570887218224382	0.108514637361276
GSM1051584	0.0876432559922204	0.180308335777014	0.124868456215373	0.100448520756141	0.407416591924645	0.160335310639746
GSM1051585	0.0514850808334018	0.177442522027157	0.0819281896507988	0.0847357268661477	0.564869604921282	0.0891527334268363
GSM1051586	0.072226222760988	0.0991975857820853	0.168164577290614	0.0967982169730816	0.516664258342757	0.0976455354987149
GSM1051587	0.0496060592120422	0.174818825124668	0.111397658442334	0.0845756783952575	0.538033867388102	0.0885451494172556
GSM1051588	0.0569037023173863	0.290573377925583	0.0939042638519006	0.077625935096607	0.43985266291503	0.0907672439230427
GSM1051589	0.052179606656417	0.131199634378181	0.0930605934700183	0.0934637076881546	0.607647564240117	0.0638682554097991
GSM1051590	0.0736495535865547	0.271110074001433	0.0999641313902513	0.0838359901906577	0.4513754555617	0.0695362987534771
GSM1051591	0.0656274764038035	0.122880954995088	0.118687939899615	0.0890877221869277	0.62462652818294	0.0235436999904924
